resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,device_watts,kilojoules,average_cadence,max_watts,weighted_average_watts,average_temp
2,Corrida matinal,13009.4,4250,4670,118.4,Run,Run,,13262533279,2025-01-04T09:51:34Z,2025-01-04T06:51:34Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,2,8,0,2,0,False,False,False,False,everyone,False,g16535475,"[-15.841468, -48.019462]","[-15.84138, -48.019082]",3.061,4.52,True,152.3,165.0,False,True,1218.6,1140.4,14144700030.0,14144700030,18C46980-A77D-4B9F-804B-DC02DBCE6C24.fit,False,0,0,False,6122940,1,a13262533279,d`u_BtxadHUe@e@gBa@gAIG[EMGEGSq@MSKGQ?k@Xe@LWNo@RULmA^IHADTj@f@~AHHDXv@zBl@vBLVVx@Vn@XbA\p@r@fCd@dANj@Jv@n@`BRv@Qa@SYb@dANx@PzDCt@Bl@CfB?`CCz@GPCCBQAi@D\@b@AnAB~@Cj@BZE`CDt@@`AGt@?~AE`AAvBK~@Mv@w@|CQbAUl@e@nBUf@[b@[p@Y\y@nAc@j@cAbBs@t@cAzA_@b@Wb@e@j@wAtBaAnAmAhB]`@wArB}@xAWZp@_B@Ag@dA}@`BALBH?FOZGdAIJSLY\u@JKHmAzBu@|AiAjB_@`AET\h@BNATMZ[ZILEZDP`@lAh@jAf@vAHNTPPn@h@nAz@dCv@nBj@fB[o@Ss@@FZ|@Hf@NZFZBDZFVIrAm@zAc@nD_Bt@UfAe@h@]nAg@x@c@|@[tAq@fCgAj@Mf@Yd@G?FGBa@DFIrAOjBe@zBu@r@a@pCmAjDsAlEkB~@i@zDaB{@f@C@j@a@t@UhAm@z@Uj@e@~@Sp@Yd@Uj@c@TKXKx@Ol@c@~@a@x@Up@[VGVYSTYLMLWFSJaAXeAf@a@\{A`@m@b@]P_A`@aATk@b@_AXi@TURa@J_FtBoErBsJ|DqCdAs@R?CJG~@YAFKDm@Rk@Jc@PaAHm@NuWfLMBCAPOb@Om@`@m@P}@PgB|@WFKAIGCKCG_@MMMYs@Kg@k@iA_@qAs@sBm@sA_@i@Ee@Yi@{@gCESNb@k@eBC_@E]U]CI@e@HYLUZQBGV{@Zq@Rk@pAuB`AiBj@mABSCk@D[AWEI{@y@e@]EI@QFUjAaB@KEe@YMUQc@g@{AmA_@Ke@][YEO\m@bCaDbBgCpAcB`AyAtAkB~A_CZa@dAyAx@qAr@uAd@e@^e@n@sAPm@Nq@NmB?a@@_@AcADcCAyAJ}FDzAAHCUC_BBUJIFApCCpA@XIfA@LAHGEa@GcABg@Fk@BsBKcCSoBi@sBoAqD]oAIe@c@eAUaAUm@UcAMUa@kAQaAAc@OQKi@c@gAu@cCCMDGXIf@W\I~Ao@JCPHd@UJSjC}@~@a@XERHx@lA^NTPx@bCVn@@DA@GI[o@e@uAXd@Tp@,2,,,,,,,
2,Corrida matinal,9063.6,3005,3044,121.8,Run,Run,,13244408301,2025-01-02T08:57:36Z,2025-01-02T05:57:36Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,1,4,0,1,0,False,False,False,False,everyone,False,g16535475,"[-15.84149, -48.019453]","[-15.841136, -48.018474]",3.016,4.22,True,143.1,166.0,False,True,1155.4,1095.2,14125253757.0,14125253757,265E230D-4BCD-40EA-91A7-EFDA63574EEA.fit,False,0,0,False,6122940,1,a13244408301,h`u_BrxadHMKKUk@kBIg@S_@KG]KMK_@aAMIMCG@yAp@_AZc@R_@JYBIJAJNZfA`Dz@nCd@pAn@vBn@bBV~@z@nCf@pAZjA`@nAJ`@`@`DBrBGfBDbAC|ACf@?~@C`@CFKFo@AqBBu@EmBEcFBa@C[EKM@aAGm@Fy@Cw@D_A@{@CqACYSgAUi@M?i@Xu@LUL}@XYFQ?]K_@EqBe@sFy@gGoAsAg@wEsBe@]qBwBw@s@q@]QIq@IwA?_@GkAkAsAeBQMGAm@NYHUNELGDe@UqAA}DNQBYJKHEHIx@A`@_@lAGXSl@IJWHADABFZGXy@hCQ\QHeAGu@DYCKEKMA]]MGI{A}CqCoFGQCU?cAC[EAOXGCEWFsBD]NmAz@sEPm@Ze@f@_@\Md@IdAAjBT`ATb@Lz@\tB`AlAv@r@l@^NZH\FjADPAn@MjDmAzB_At@_@l@Ir@Qd@OJAFH@`@Jr@j@vB?`@M^STQLq@Xy@n@Yb@Y~@cA^eBd@KD?Bb@b@`AlAj@f@`@Jf@CBA@IO[CSAeABiAGWKGKAQBkA\a@He@NO@IAYOGAa@De@ROTCHBHJNLFZDb@VNXHf@NZb@h@|@n@JZLdAHVHLdDnCVHfACL@DF@LG`DI`DBj@@HHLx@h@p@\JBb@?t@FlARbBRjBLr@Ah@M\OlAcBbAcA^[^Sv@SZOT[Vs@RQPCL?`@BfAR\JV?VGn@UXGt@_@x@]HI@SgA_DCK?OPYfC_Ab@MNIBIQe@Ao@_@kAMW[gAaA{CAQLSr@UHI?EWo@g@_CWq@@YHMVOb@Od@ShC}@DCHSFCzEaBNBFDV^NLXb@XJPRDL,2,,,,,,,
2,Corrida matinal,9068.4,3266,4127,131.0,Run,Run,,13229739954,2024-12-31T09:37:19Z,2024-12-31T06:37:19Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,1,8,0,10,0,False,False,False,False,everyone,False,g16535475,"[-15.841467, -48.019444]","[-15.838122, -48.019769]",2.777,4.532,True,136.1,164.0,False,True,1145.2,1095.6,14109291597.0,14109291597,0BDA7481-D2B9-4EB5-8CC4-0662810F5C4F.fit,False,0,0,False,6122940,1,a13229739954,d`u_BpxadHMKGKOo@Ww@Oo@]e@WGOMa@aAIKKCM@qBx@mBr@UDEBAHe@Rg@LYAm@`@wAb@EB?LXbAlAdDDR?VAHGBa@LkC`AwAn@a@LMHCHANBHTf@pBfG?ZNh@L`B?h@MZJxAETURkA\YBO?KAe@SAELYN?PGXWJ_@C[KUW[c@[_@QKIKeA@WXi@PQ^MPMHMAM]i@SS[Om@QeBaAc@MoC]_BLQA[IwAo@IGm@aAq@w@a@q@SQk@KgCUiAUg@OkAu@QIO?QFw@`@u@h@e@h@Q~@ADIDiCp@k@LKAWOMAYDy@Xs@DmAAo@@eAFy@?_@DWHQPIR@TGDEIA[]eCEMGEa@Uc@?u@DuB\YHoARWJUPWHw@\QBu@AMIEOAu@BUR_@v@s@HCP@HBLLFPDd@f@z@F^CXGV?VBt@HXPNv@^f@VRXVh@CNS`@EVg@xBQPY?EBBN^TJDR?p@Gl@B\ANEBETy@v@_C?KKI?QHGTADG^sA^_A@IAe@e@uDEIKICIJYQuAIyACKQOBc@_@s@MMs@m@q@_@]KoAWyAg@SCO@OBULSNQRSb@U|@G~@FzACvCGf@a@d@EL?~AJb@zAvCV^Tl@n@hARb@j@dAXLBFANBLNFN@`AEl@BXCJEBG\mAdBaF`@wABMAa@Fa@FMNONIh@ItAEdBIjABh@RLWDE`AUT?ZNL?v@QtAg@XCNBHDJLFXGdCD\HXKF[@YAa@OcAgAoA}ASOQA}@VQNCPDLJHn@V^THPFf@HNv@z@j@\JHFRFz@DVHTPRxCfCb@HV?h@GPDBJEZExB?j@C^IxBVjBXrAJ@Va@ROPGXCvBN|BZnAH`@Dt@@f@Ib@SNQVe@^e@zA}Ab@W~@U^STYPg@JMJIVIf@ARIh@LHJXNPBXCRGvAq@d@Kp@]FK@QkAiDAI@GBEXU|@a@rBo@FEDMAIMc@m@kBQ_@Kg@Yy@CQ?U[y@QUAU`Ag@FKs@wB,2,,,,,,,
2,Treinamento com peso vespertino,0.0,2554,2554,0.0,WeightTraining,WeightTraining,,13225913188,2024-12-30T19:11:00Z,2024-12-30T16:11:00Z,(GMT-03:00) America/Araguaina,-10800.0,,,República Federativa do Brasil,0,2,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,69.4,115.0,False,True,0.0,0.0,14105158391.0,14105158391,BE714234-6990-4EBD-998D-EEEFF128E727.fit,False,0,0,False,6122940,1,a13225913188,,2,,,,,,,
2,Corrida matinal,14490.5,4803,5292,145.0,Run,Run,,13207011961,2024-12-28T09:46:13Z,2024-12-28T06:46:13Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,2,6,0,2,0,False,False,False,False,everyone,False,g16535475,"[-15.84144, -48.019453]","[-15.839153, -48.018845]",3.017,4.3,True,148.4,163.0,False,True,1219.0,1139.6,14084698702.0,14084698702,78C8BCF9-8C6B-49FD-A079-742CCE04EA62.fit,False,0,0,False,6122940,1,a13207011961,~_u_BrxadH}@mCIc@M[IIe@OGUOUIYQO_@?wB|@m@NgAd@MXRv@`AlCFXPTl@tBVn@X`ArApDb@hBh@pA\bAH`@ARTr@h@nAR~@JdBDtBErBHpEMjAIk@Ck@Jv@Bt@B`FEn@?bACx@@x@IxE@fAI~AObAoAdFY`A[pASb@]f@[ZM\kDvFo@l@w@hAo@t@u@lAo@t@cA|AyBtCyA~Bm@r@w@lAMNG@h@kAJK[t@o@bAIj@]j@EX@r@EPk@j@o@HODGF}ArCa@|@[b@i@lAQVWr@?LTh@Dd@K\YTRWJQKPWXMTAPD\pAxC`@tA^f@\bAp@pAb@nBfBlEAGS]`@~AJVD@xBcA~A]~E}BpEeB`CmA|@]rDeB|@SRAIHw@TCA@EJEzASd@Mr@WbBe@`C_AbF}BhA_@tB}@`D{A|Am@`Ag@r@SVSr@[z@U\[jA]j@UfBeAtA_@\YlAo@t@Ox@]DGDk@HOj@Yt@Qf@SlBkANEPB^Xl@Ox@m@jAYdAy@bBo@nBaAbC}@hAm@FBMJ[NUHd@]n@]rAg@~KcFVKKLw@`@mF~BaChAsBt@sAt@iGlCg@PcAh@i@^gAVEFLd@EDk@NqA~@eARaBn@aAp@u@`@GAOWOGQD_@Pc@DIFD@t@Uo@L}Ax@]VeBj@iAr@aAb@y@Nk@b@k@NcA`@a@Va@J}G~CwQtH{Ab@|@a@RAGDqCx@gAHe@LuH`DeD|AiInDFAlAq@ODiAn@{Bn@a@Vo@TY?_@W]MQU[y@i@aAc@gBo@sBqA}BQy@e@eAYw@m@_CEy@[q@@]Hg@d@SDGf@}Ad@eAhCqEj@qADMBe@DYAm@CIk@Y[[c@[EKHe@nAkBGk@m@_@kDaCq@s@IK?IdA}A^_@b@w@jAyAfBmCl@q@r@kAHIPEF]rBuCp@y@Xg@hBoCb@iAt@s@v@cAl@sBRaAJqAE}BFsA@qCEkCFcAAm@B[DCz@ErD?`@Ml@A\@JA@GEc@AwAHm@BeDMmBWuB[mAuBqGGc@Mg@N\@HwAkEa@eAm@sBOgAYu@q@wBg@yA@Kz@[xAa@\A^ULAHJ^rAh@rAL`@KQ}@eC,2,,,,,,,
2,Treinamento com peso vespertino,0.0,2664,2664,0.0,WeightTraining,WeightTraining,,13202108416,2024-12-27T16:05:28Z,2024-12-27T13:05:28Z,(GMT-03:00) America/Araguaina,-10800.0,,,República Federativa do Brasil,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,92.9,116.0,False,True,0.0,0.0,14079427531.0,14079427531,8689B2DF-F57E-4851-9A6A-B8B16550A355.fit,False,0,0,False,6122940,1,a13202108416,,2,,,,,,,
2,Corrida matinal,11007.5,3604,3641,110.2,Run,Run,,13191678500,2024-12-26T08:54:45Z,2024-12-26T05:54:45Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,0,7,0,1,0,False,False,False,False,everyone,False,g16535475,"[-15.841534, -48.019544]","[-15.841085, -48.018487]",3.054,4.1,True,146.5,159.0,False,True,1212.4,1138.2,14068247770.0,14068247770,401A00C8-1B51-4A3F-872A-92B96B23C1A6.fit,False,0,0,False,6122940,1,a13191678500,r`u_BdyadHUQS_@Mk@Us@Ia@Wo@GGUGUOYy@GMIEOCIBiAf@w@RgAd@q@TGZBHLXj@|Ah@fBHb@Xh@^jAb@lAT~@Vh@Rn@\v@^vANv@p@vABNAXt@lCp@~D?bBBX?h@Bx@E`JBdAEx@AtA@h@A\Ef@AxAA\Bf@Ct@?lDCh@OfAWhA_BjGY~@Sf@yAzBkAlBm@x@S`@qDpE_BdCs@v@mAdB_BbCeAtA}@xAe@j@ILG`@k@x@C\@b@GXq@p@q@HIBEDmBnDSd@mAtBSf@GV?NXn@@L?PIZm@p@CZj@|A`@t@L\ZnAJHH@f@]tAq@`HsCb@M|@c@POJ]DEXCXIZAb@ItAg@fD{AvBs@f@?BF@FEJGDu@\KNiBv@yAj@q@Lm@Z}Ap@w@RkAd@gChAYXGBKEK?GBSLmBt@c@XsAf@OJ?HlAvCFj@Nn@Eh@BVrAtD@FCJOTkAf@u@RMHSBw@Ci@C]Ii@GeEw@i@Gw@Si@[[Y[i@O[Mo@@{@D]SyEDwA?aADo@Sw@MwB@c@Jg@?a@Ec@Mq@K_BGYMKGSKiBDg@G}A?wABeBAw@HsAN{@Aq@@y@JKt@?lAMZQt@{@^SXEfA@LCRO\CFGb@q@d@}@z@aAbAuAf@o@R[nAgBlAuAb@u@FS~@uAdB}BfCwDRUj@eA~@kAZeAd@gAPeAFsH?oAFq@Ey@DgAAyBD[LILApB?TAVBp@@f@Iz@@PEJI@IIyA@_@@ORc@E{@G]@i@EmAM{AM_Ai@uBe@wAMaAc@{AgAuCy@qCg@sAUy@Gs@KSeA{CIc@Ca@EUBKp@]vAa@p@Yj@QHELUz@Yh@Wh@M|@]VEJBLHRTb@v@BBXDDDNVpAtD?NEHMLIFK@SAQIGGg@{AMYa@oA?KBOFINIRCF@LDRVr@lBZhA@RENGF[JQAICUYcA}CKc@?QFKPKJCP@PLb@z@h@|AJRH\@NCHQLUF[AIGIKw@wBSw@ASBOJQHCNALBXX,2,,,,,,,
2,Corrida matinal,10613.4,3517,3648,111.4,Run,Run,,13202108725,2024-12-24T09:22:06Z,2024-12-24T06:22:06Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,0,2,0,2,0,False,False,False,False,everyone,False,g16535475,"[-15.84142, -48.019451]","[-15.841537, -48.019382]",3.018,4.58,True,151.4,168.0,False,True,1156.2,1084.2,14079427765.0,14079427765,843E5209-13BD-422D-902C-6F2E1247E8D7.fit,False,0,0,False,6122940,1,a13202108725,z_u_BrxadHKMIMI_@Ec@Si@Ke@KWEGe@OKIIQUs@OMQAG@aBp@m@Lu@`@s@VKJvBfGBPHNf@vA`BlF\z@BNANHFJARhAL\h@hAb@xAd@`An@bBFXH`ABb@EhAObAGz@@zBCj@Eh@@b@CdAED]H{ECGKB[Gm@?g@Di@J]Ju@AgA@_@Am@G_@?o@YuBQ}@m@mB]{@Su@[{@Oi@_AkCc@}A}@cCOs@S[Ke@[u@]qAiAcDQu@EE?JRZAGoAmD[iA{@}Ba@mAKe@MWI[_@eA{@}COw@OsACYEeGCm@@g@C{EFsBVwCj@kBPeARw@Nc@TcA?EIGsBk@U[MG]AOCSIMKs@wBR`@Yk@g@aBEUCg@GM]_@e@LKCOI_@EgALcAZi@HcAl@cANmAn@]Fc@Ci@LcDjAmA`@aBt@a@NMHW\QJcALwAl@yAb@QHq@h@uCrAk@Pi@Ei@Fo@RcA`@m@Nq@Jc@LmAb@u@l@e@Ti@Ja@Nu@Fx@Mn@WD@EFs@Po@HwBh@mDjA}@d@gATiBn@}@TeA`@cAT{An@uAb@oAh@e@LmAh@OJILOh@T_AMZGTRi@POzAo@`@KVQpAa@pCgArC{@v@SpBs@dASp@_@`Bo@xC{@j@Mt@K^Mr@OTM|@u@bA]v@Qp@EPEn@WJKg@Z_@JB?hAe@lAa@`@A`@Br@OhCqAbAs@p@Ob@Sp@Sj@]G?KHADJAVMbAQJGV]LKr@Uf@Wv@]vE_Bp@Qf@@RC\Ol@_@XKz@O|@i@jBc@VC|@EPDZLFGb@IBRRLJTBl@DR|AvEHJLF\Ff@Bd@L^RR^f@PJH@DSlAk@zBUp@Sx@YzA?h@KvAAf@BhAA`BBnAClABdAAhAJ|BHrAJt@z@bDNd@R`@b@fAZpAz@jCNj@Vt@`@z@n@bCHLZRX@~B_ANAN@jA_@LGJOd@O|CqALEN@NHLTZXV`@TBHFDFNl@hA~C,2,,,,,,,
2,Treinamento com peso vespertino,0.0,2426,2426,0.0,WeightTraining,WeightTraining,,13176804463,2024-12-23T19:09:11Z,2024-12-23T16:09:11Z,(GMT-03:00) America/Araguaina,-10800.0,,,República Federativa do Brasil,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,75.9,92.0,False,True,0.0,0.0,14052219729.0,14052219729,ECA3D471-0D1A-44FE-BDC7-4A0AD939DA19.fit,False,0,0,False,6122940,1,a13176804463,,2,,,,,,,
2,Corrida matinal,7008.8,2418,2421,117.0,Run,Run,,13161223911,2024-12-21T10:15:53Z,2024-12-21T07:15:53Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,República Federativa do Brasil,2,7,0,4,0,False,False,False,False,everyone,False,g16535475,"[-15.829298, -48.020791]","[-15.829649, -48.020922]",2.899,3.8,True,155.6,181.0,False,True,1175.0,1095.6,14035428344.0,14035428344,28E31928-BA0A-4641-9D0A-E0B3963C53D8.fit,False,0,0,False,6122940,1,a13161223911,btr_B~`bdHiAr@W?SB}@VYAa@Do@AcCD_BHUFOHKLEN?lA_@`Aa@vAKJUDCB?HHJ@LkAtDGJKFmAEgAFMASKCKBOAKWEGEiFeKO[G[@kBBINM^OAWBgEGoABYHk@Ni@JUNUVUNKVKZETB|Aj@tAVVJxAdA\b@Xl@@LEN@DTPLfB@ZHr@ALIN?DRJBHb@nDBk@BIHKHCh@Of@?hBInBCXDHBh@h@nAj@FFVt@b@j@LXx@d@JZFx@H^DNJLn@f@`@`@pA`AVHN@|@IJH@HG~A?hAKbDBx@Hr@x@zDZbAh@vA^t@b@l@BPSx@MJSFyAt@URIT@~AWX?ZCHWZADDJXVFN@NGj@B|ABRtBzB`@\zAfBVXh@`@p@x@l@d@Zb@j@d@|@bAXPL?LMbAaBLYFYCOEGeAIaAMGCGKTk@h@y@f@aAFUAM[eA?QHe@@{@Cq@Bc@@}BEeBD]?YCo@@qFEiE?k@Fo@J[P[fBqBZYp@]j@I^QFITo@X[VKJAbBCh@OJEHKDQCi@IQOSg@a@m@[cA]_BoAUMQGsAG_BWUIy@e@s@Oy@IcBCqCQu@O{Ai@g@E{@Dc@?QCo@[{AUGGG]CeAFgAAQGWGEIAQ@uA`@iA^CDBJDH`@ZxAbBRNXDx@Er@Dd@HbAl@B?eAi@a@Ky@KUKEICQ@c@Ck@DiAEUKKOEYDg@P,2,,,,,,,
